id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
128,Kalyani Nagar,926,2,2,2012,1,9811051
129,Koregaon Park,2082,4,3,1993,1,21886954
130,Pimpri-Chinchwad,703,1,1,2018,1,4692426
131,Koregaon Park,2795,5,5,1999,1,31636979
132,Hinjewadi,507,1,2,2000,0,2863117
133,Viman Nagar,1451,3,3,2007,1,12121974
134,Hinjewadi,1082,2,2,2022,0,6712195
135,Koregaon Park,843,2,2,2014,1,10956168
136,Kalyani Nagar,3015,5,4,1994,1,26477989
137,Viman Nagar,1112,2,2,2018,0,9216261
138,Kalyani Nagar,900,2,2,2021,1,10465692
139,Viman Nagar,2459,4,3,1991,1,18522673
140,Kalyani Nagar,1138,2,2,1992,0,9888021
141,Viman Nagar,2717,5,5,2009,1,23254801
142,Koregaon Park,663,1,1,1990,1,7447044
143,Hinjewadi,903,2,2,2000,0,4924936
144,Viman Nagar,508,1,2,1996,0,4154005
145,Koregaon Park,3578,5,5,1994,1,39587988
146,Hinjewadi,2398,4,3,2013,1,14264322
147,Pimpri-Chinchwad,647,1,1,2022,0,4221395
148,Koregaon Park,582,1,2,2004,0,6946316
149,Viman Nagar,619,1,2,2011,0,5176478
150,Koregaon Park,741,1,2,2021,0,9536971
151,Koregaon Park,1324,3,2,1997,0,14531345
152,Koregaon Park,3253,5,4,1998,1,37261909
153,Kalyani Nagar,946,2,2,1996,0,8487773
154,Koregaon Park,589,1,2,2014,0,7269697
155,Kalyani Nagar,1065,2,2,2005,1,10761821
156,Koregaon Park,1456,3,2,2020,1,19077327
157,Pimpri-Chinchwad,506,1,2,2003,0,3315069
158,Pimpri-Chinchwad,1360,3,3,1997,0,7995321
159,Koregaon Park,1066,2,2,1992,1,11785687
160,Pimpri-Chinchwad,946,2,2,2000,1,6195710
161,Pimpri-Chinchwad,1553,3,3,1996,1,9631565
162,Koregaon Park,515,1,1,1991,1,5732165
163,Viman Nagar,2487,4,4,2017,1,20859084
164,Viman Nagar,926,2,2,1998,1,7548033
165,Viman Nagar,1469,3,3,1991,1,10883106
166,Koregaon Park,2781,5,5,1991,0,28641321
167,Koregaon Park,814,2,2,2012,1,10684330
168,Kalyani Nagar,2222,4,4,1994,0,19562933
169,Pimpri-Chinchwad,682,1,2,1991,0,3756836
170,Pimpri-Chinchwad,2443,4,4,2016,1,15738348
171,Koregaon Park,1145,2,2,1995,0,12699219
172,Viman Nagar,1219,3,2,2000,1,10293124
173,Kalyani Nagar,2062,4,3,2007,1,20064149
174,Koregaon Park,2795,5,5,2024,1,36454585
175,Hinjewadi,1952,4,3,1993,1,10062772
176,Viman Nagar,560,1,2,2011,0,4806269
177,Hinjewadi,3679,5,5,2007,1,19583527
178,Viman Nagar,2104,4,3,2018,1,18334070
179,Hinjewadi,1634,3,2,1999,0,8718472
180,Pimpri-Chinchwad,2301,4,3,2022,1,15891362
181,Pimpri-Chinchwad,1659,3,3,2002,1,10085134
182,Viman Nagar,3509,5,4,2011,1,29636546
183,Kalyani Nagar,3842,5,5,2012,1,37995625
184,Viman Nagar,543,1,1,2013,1,4671790
185,Pimpri-Chinchwad,1885,4,4,2006,1,11654655
186,Pimpri-Chinchwad,2889,5,5,2010,1,18146683
187,Hinjewadi,1611,3,3,1990,1,8560442
188,Koregaon Park,3158,5,4,1998,1,36321227
189,Koregaon Park,1296,3,3,2008,1,16011181
190,Kalyani Nagar,823,2,2,1992,1,8078363
191,Hinjewadi,1632,3,2,2014,0,9288802
192,Viman Nagar,1079,2,2,2015,1,9054618
193,Pimpri-Chinchwad,2851,5,5,2003,1,17057398
194,Kalyani Nagar,886,2,2,2009,1,9488300
195,Hinjewadi,1216,3,2,2021,1,7828942
196,Viman Nagar,3301,5,4,2009,1,26813426
197,Hinjewadi,3908,5,4,1990,1,18833275
198,Viman Nagar,660,1,1,2010,0,5206495
199,Koregaon Park,1141,2,2,1992,0,12304833
200,Hinjewadi,1014,2,2,1995,1,5578561
201,Hinjewadi,930,2,2,2021,0,5819669
202,Kalyani Nagar,2467,4,3,1999,1,22871203
203,Kalyani Nagar,926,2,2,2015,1,9984410
204,Kalyani Nagar,945,2,2,2013,0,9301857
205,Viman Nagar,2235,4,4,2016,1,19990598
206,Pimpri-Chinchwad,1887,4,3,2025,1,13597971
207,Viman Nagar,975,2,2,2010,0,8253940
208,Hinjewadi,1302,3,2,2021,1,7834554
209,Koregaon Park,3739,5,5,1996,1,39276709
210,Koregaon Park,2588,4,4,2008,1,30849933
211,Hinjewadi,1907,4,3,1996,1,10144075
212,Kalyani Nagar,1259,3,2,1999,1,12372358
213,Hinjewadi,616,1,1,1992,1,3326463
214,Hinjewadi,713,1,1,1994,0,3636624
215,Hinjewadi,2428,4,3,2021,1,14593563
216,Viman Nagar,1998,4,3,2001,1,15604734
217,Hinjewadi,1551,3,3,2022,1,9721382
218,Kalyani Nagar,1110,2,2,2021,1,12079490
219,Kalyani Nagar,610,1,1,2014,0,6097719
220,Koregaon Park,1592,3,2,2005,1,18831769
221,Hinjewadi,3328,5,5,1997,1,16319680
222,Koregaon Park,663,1,1,2012,0,7930059
223,Viman Nagar,1628,3,3,2021,1,14774570
224,Pimpri-Chinchwad,1505,3,2,2007,1,9613993
225,Kalyani Nagar,1217,3,2,2014,1,13032262
226,Hinjewadi,3449,5,4,2005,1,18450806
227,Viman Nagar,2385,4,4,2007,1,19245377
228,Pimpri-Chinchwad,638,1,1,2020,1,4577701
229,Koregaon Park,721,1,2,2018,1,9373052
230,Hinjewadi,1066,2,2,2002,0,5917567
231,Viman Nagar,820,2,2,2024,0,7637778
232,Kalyani Nagar,3761,5,5,2023,1,39152901
233,Kalyani Nagar,846,2,2,1999,1,8406276
234,Koregaon Park,1068,2,2,2013,1,13597557
235,Kalyani Nagar,3028,5,4,1997,1,27316887
236,Viman Nagar,2331,4,4,2007,1,19709337
237,Hinjewadi,899,2,2,2020,0,5498132
238,Kalyani Nagar,1234,3,2,2008,1,13284815
239,Viman Nagar,1629,3,2,2026,0,13670400
240,Kalyani Nagar,2840,5,4,2026,1,31991574
241,Koregaon Park,3502,5,4,1993,0,37165003
242,Viman Nagar,1222,3,2,2025,0,11072407
243,Koregaon Park,3474,5,5,1999,1,40038816
244,Hinjewadi,566,1,2,2016,0,3532849
245,Pimpri-Chinchwad,2309,4,4,2001,1,14591693
246,Hinjewadi,3791,5,4,2019,1,22577809
247,Kalyani Nagar,1345,3,3,2012,1,14753167
248,Hinjewadi,2931,5,4,2005,1,16721260
249,Pimpri-Chinchwad,3976,5,4,2013,1,23689982
250,Koregaon Park,961,2,2,1999,0,10508921
251,Pimpri-Chinchwad,2117,4,4,1998,1,12495928
252,Kalyani Nagar,3437,5,5,1992,1,30173461
253,Hinjewadi,1019,2,2,2006,0,5781478
254,Viman Nagar,1061,2,2,1996,1,8508868
255,Pimpri-Chinchwad,695,1,2,2016,0,4718702
256,Kalyani Nagar,1418,3,3,2026,1,16079372
257,Koregaon Park,1656,3,2,1994,1,17863762
258,Viman Nagar,1374,3,3,2009,1,12016767
259,Kalyani Nagar,2048,4,3,2005,1,19438800
260,Koregaon Park,1237,3,2,2022,0,16192909
261,Kalyani Nagar,4018,5,5,1997,1,37589423
262,Pimpri-Chinchwad,746,1,2,2018,0,4911035
263,Pimpri-Chinchwad,1361,3,3,2011,0,8990505
264,Viman Nagar,1505,3,2,2023,1,13117490
265,Koregaon Park,2301,4,4,2008,1,25859562
266,Hinjewadi,1134,2,2,2015,1,6482624
267,Viman Nagar,3499,5,5,2015,0,29517608
268,Pimpri-Chinchwad,3068,5,4,1994,1,17552748
269,Hinjewadi,2233,4,3,2011,1,12385396
270,Hinjewadi,3389,5,5,2023,1,19255552
271,Hinjewadi,1096,2,2,2023,1,6869390
272,Koregaon Park,2242,4,4,1994,1,23849395
273,Hinjewadi,594,1,2,1996,0,3235827
274,Kalyani Nagar,3503,5,4,1993,1,32486841
275,Viman Nagar,719,1,2,2026,0,6581083
276,Pimpri-Chinchwad,1111,2,2,2004,1,6956785
277,Kalyani Nagar,3681,5,4,1996,1,32682549
278,Hinjewadi,929,2,2,2017,0,5435292
279,Kalyani Nagar,1516,3,3,2024,1,16920051
280,Kalyani Nagar,1284,3,2,1991,0,11173881
281,Hinjewadi,1040,2,2,1996,1,5434811
282,Kalyani Nagar,591,1,1,2025,0,6133888
283,Viman Nagar,3250,5,5,1994,1,25113119
284,Hinjewadi,1503,3,3,2019,0,9428715
285,Hinjewadi,2886,5,4,2025,0,16757743
286,Pimpri-Chinchwad,713,1,1,1997,0,4099470
287,Koregaon Park,879,2,2,2017,1,11692914
288,Kalyani Nagar,743,1,2,2021,1,8152018
289,Pimpri-Chinchwad,1699,3,3,2013,1,11608192
290,Viman Nagar,2442,4,3,2011,1,19494578
291,Pimpri-Chinchwad,1842,4,4,1992,1,10565226
292,Hinjewadi,1836,4,4,2017,1,10731641
293,Hinjewadi,2133,4,4,2025,1,13900002
294,Viman Nagar,1061,2,2,2015,0,8974864
295,Hinjewadi,1337,3,2,2015,1,8452022
296,Pimpri-Chinchwad,602,1,1,2025,0,4125832
297,Kalyani Nagar,1149,2,2,1996,0,11113403
298,Pimpri-Chinchwad,741,1,2,2020,0,4875760
299,Viman Nagar,1106,2,2,1993,0,7999218
300,Pimpri-Chinchwad,918,2,2,2021,0,6535020
301,Koregaon Park,1953,4,4,2020,1,24562980
302,Hinjewadi,1029,2,2,2004,1,5758417
303,Hinjewadi,1405,3,2,2024,1,8857481
304,Koregaon Park,1376,3,3,2022,0,18016997
305,Hinjewadi,1128,2,2,1992,0,5449808
306,Pimpri-Chinchwad,2966,5,5,2022,1,19888227
307,Koregaon Park,966,2,2,2026,1,13058036
308,Viman Nagar,872,2,2,2002,0,6761965
309,Pimpri-Chinchwad,4038,5,5,2022,1,26249081
310,Pimpri-Chinchwad,1030,2,2,2004,0,6592061
311,Kalyani Nagar,2513,4,3,2000,1,23324665
312,Pimpri-Chinchwad,1690,3,2,2018,0,10569715
313,Viman Nagar,1965,4,3,2018,1,17465422
314,Pimpri-Chinchwad,802,2,2,2022,0,5677138
315,Hinjewadi,2528,4,4,1992,0,12934312
316,Pimpri-Chinchwad,2761,5,4,2002,1,17495711
317,Viman Nagar,1587,3,3,1993,1,12155999
318,Viman Nagar,515,1,1,2016,1,4406536
319,Pimpri-Chinchwad,2147,4,4,2021,1,14413393
320,Hinjewadi,1942,4,4,2026,1,12629208
321,Hinjewadi,502,1,2,2008,0,3101929
322,Hinjewadi,2046,4,4,1995,1,11353262
323,Koregaon Park,804,2,2,1992,1,9436882
324,Viman Nagar,1659,3,2,1996,0,12124379
325,Hinjewadi,2029,4,3,1993,1,10495796
326,Viman Nagar,3749,5,4,2023,1,30588495
327,Pimpri-Chinchwad,707,1,2,1999,1,4397208
328,Viman Nagar,1048,2,2,2020,0,9406688
329,Pimpri-Chinchwad,682,1,2,2005,0,4203490
330,Koregaon Park,635,1,1,2024,1,8267203
331,Viman Nagar,741,1,2,2017,0,6299219
332,Koregaon Park,1380,3,3,1993,0,15666170
333,Kalyani Nagar,1554,3,2,2011,1,16033915
334,Viman Nagar,3415,5,5,2004,1,27912758
335,Pimpri-Chinchwad,916,2,2,1993,1,5654207
336,Koregaon Park,692,1,2,2006,0,8154999
337,Kalyani Nagar,2035,4,4,2026,1,21578160
338,Koregaon Park,1048,2,2,1996,0,11354196
339,Koregaon Park,1098,2,2,2004,1,13277646
340,Pimpri-Chinchwad,538,1,2,2004,1,3734234
341,Koregaon Park,1257,3,3,2003,1,14897697
342,Koregaon Park,3201,5,5,2013,0,38691292
343,Hinjewadi,3935,5,4,2007,1,20402222
344,Pimpri-Chinchwad,723,1,1,1992,1,4075952
345,Kalyani Nagar,1535,3,3,1991,1,14754043
346,Viman Nagar,1475,3,2,2020,1,12832017
347,Kalyani Nagar,1513,3,2,2001,1,13978273
348,Kalyani Nagar,550,1,2,2024,0,6222013
349,Koregaon Park,907,2,2,2020,1,11303088
350,Koregaon Park,1859,4,4,2013,1,22805818
351,Pimpri-Chinchwad,622,1,1,2017,0,4046040
352,Viman Nagar,582,1,1,2019,0,4935081
353,Hinjewadi,912,2,2,1999,0,4779530
354,Hinjewadi,1397,3,2,2025,1,9158699
355,Viman Nagar,2194,4,4,2018,1,18755982
356,Koregaon Park,832,2,2,1996,1,9576594
357,Pimpri-Chinchwad,1655,3,2,2004,0,10121339
358,Pimpri-Chinchwad,822,2,2,1996,1,5080088
359,Kalyani Nagar,539,1,1,2009,0,5151272
360,Kalyani Nagar,2331,4,4,2017,1,24015468
361,Pimpri-Chinchwad,1056,2,2,1992,0,6213963
362,Pimpri-Chinchwad,3415,5,5,2017,1,22816197
363,Kalyani Nagar,894,2,2,1992,0,8357537
364,Kalyani Nagar,959,2,2,2009,1,9443268
365,Koregaon Park,4004,5,5,2001,1,46440833
366,Viman Nagar,3644,5,5,1997,1,26312793
367,Koregaon Park,3406,5,4,1990,1,34592049
368,Koregaon Park,1616,3,3,2000,1,19004203
369,Pimpri-Chinchwad,1311,3,3,2001,1,8473973
370,Kalyani Nagar,1325,3,2,2003,1,13305014
371,Viman Nagar,2380,4,4,2012,1,19249678
372,Viman Nagar,645,1,2,2005,0,5325559
373,Viman Nagar,2839,5,5,2026,1,24250041
374,Kalyani Nagar,1981,4,4,2017,1,20954131
375,Koregaon Park,3476,5,5,1998,1,37418995
376,Koregaon Park,898,2,2,2003,0,10767896
377,Hinjewadi,2795,5,5,2024,1,16612073
378,Pimpri-Chinchwad,1213,3,2,2003,1,8028215
379,Pimpri-Chinchwad,586,1,1,1992,0,3416672
380,Hinjewadi,1576,3,2,2008,1,8913706
381,Pimpri-Chinchwad,3513,5,5,1997,1,19459090
382,Hinjewadi,1878,4,3,2010,1,10912286
383,Koregaon Park,500,1,2,2005,1,5906711
384,Koregaon Park,1018,2,2,2010,0,12668361
385,Kalyani Nagar,1648,3,3,2006,1,17197140
386,Kalyani Nagar,2148,4,3,2025,1,22627748
387,Hinjewadi,1487,3,3,1996,1,7661133
388,Pimpri-Chinchwad,3856,5,4,2023,0,25249737
389,Hinjewadi,664,1,1,2011,1,3697266
390,Pimpri-Chinchwad,555,1,1,2011,0,3579963
391,Hinjewadi,662,1,1,2003,0,3563201
392,Koregaon Park,2916,5,5,2022,1,37891735
393,Kalyani Nagar,3730,5,5,2004,1,36068277
394,Koregaon Park,716,1,2,2010,1,8973061
395,Pimpri-Chinchwad,2247,4,3,2004,1,14559643
396,Koregaon Park,723,1,1,2009,0,8741878
397,Pimpri-Chinchwad,1484,3,3,2002,1,9145011
398,Viman Nagar,627,1,1,1993,1,4983010
399,Hinjewadi,575,1,2,1999,1,3358620
400,Kalyani Nagar,3063,5,5,2004,1,28494636
401,Kalyani Nagar,865,2,2,1994,0,8208957
402,Hinjewadi,1114,2,2,2003,0,5753044
403,Pimpri-Chinchwad,2562,4,4,2016,1,16277244
404,Kalyani Nagar,2542,4,4,2013,1,25757226
405,Pimpri-Chinchwad,1859,4,4,2012,1,12994305
406,Hinjewadi,2964,5,5,2008,1,16807722
407,Pimpri-Chinchwad,3752,5,4,2016,1,24486262
408,Kalyani Nagar,1285,3,3,2001,1,12409219
409,Kalyani Nagar,748,1,1,2002,1,7056451
410,Kalyani Nagar,1063,2,2,2018,1,11824090
411,Viman Nagar,2081,4,4,1990,1,14739785
412,Koregaon Park,1249,3,2,1992,1,14372023
413,Hinjewadi,2034,4,4,2003,1,10842214
414,Viman Nagar,1294,3,2,2018,0,11192267
415,Viman Nagar,749,1,1,1995,0,5408965
416,Kalyani Nagar,502,1,1,1994,0,4520161
417,Koregaon Park,4071,5,4,1997,1,41892937
418,Viman Nagar,1220,3,2,2001,1,10199851
419,Viman Nagar,2229,4,3,2018,1,19773144
420,Pimpri-Chinchwad,3341,5,5,2005,1,20553821
421,Hinjewadi,4155,5,5,2024,1,24103737
422,Pimpri-Chinchwad,3069,5,5,2019,1,21130846
423,Koregaon Park,2325,4,4,2025,0,28605187
424,Viman Nagar,1075,2,2,2020,1,9302369
425,Hinjewadi,1480,3,3,1995,1,8121358
426,Viman Nagar,4003,5,4,2025,1,36018469
427,Viman Nagar,595,1,1,2008,1,4875800
428,Koregaon Park,873,2,2,1994,1,9831917
429,Viman Nagar,612,1,2,2021,0,5354750
430,Pimpri-Chinchwad,3373,5,4,2011,1,21073105
431,Kalyani Nagar,2541,4,3,2011,1,25811972
432,Viman Nagar,2017,4,4,2001,1,15754551
433,Koregaon Park,551,1,1,2008,0,6566748
434,Koregaon Park,999,2,2,2008,0,11373332
435,Koregaon Park,2309,4,4,1990,1,25764733
436,Pimpri-Chinchwad,3402,5,4,2002,1,20678934
437,Hinjewadi,1846,4,4,1995,1,9726781
438,Viman Nagar,659,1,2,2007,0,5522833
439,Hinjewadi,3285,5,5,2025,1,19372558
440,Koregaon Park,3182,5,4,2009,1,36827806
441,Kalyani Nagar,521,1,1,2018,1,5744230
442,Pimpri-Chinchwad,1122,2,2,2005,0,6700178
443,Koregaon Park,2256,4,3,2005,1,26638202
444,Pimpri-Chinchwad,860,2,2,2025,1,6242295
445,Koregaon Park,1457,3,3,1997,1,15686677
446,Kalyani Nagar,1348,3,2,1996,1,12275721
447,Viman Nagar,3637,5,5,2026,1,31632251
448,Pimpri-Chinchwad,1857,4,4,2024,1,13679180
449,Kalyani Nagar,714,1,1,2002,0,6925642
450,Koregaon Park,3810,5,5,2012,1,44378495
451,Viman Nagar,1326,3,3,2022,1,12591494
452,Pimpri-Chinchwad,641,1,2,2021,0,4213071
453,Viman Nagar,906,2,2,1995,1,7381395
454,Viman Nagar,3355,5,4,2018,1,27343863
455,Pimpri-Chinchwad,692,1,1,1993,0,3846125
456,Pimpri-Chinchwad,615,1,1,2024,0,4323498
457,Hinjewadi,1437,3,3,2015,1,8402884
458,Koregaon Park,828,2,2,2024,1,11302389
459,Pimpri-Chinchwad,2810,5,5,1991,1,16105547
460,Pimpri-Chinchwad,1876,4,3,1998,1,11892856
461,Viman Nagar,744,1,2,2020,0,6552137
462,Koregaon Park,1115,2,2,2024,1,13812751
463,Kalyani Nagar,573,1,2,2026,0,6465035
464,Pimpri-Chinchwad,2535,4,4,1991,1,14672516
465,Kalyani Nagar,537,1,1,2014,0,5265299
466,Viman Nagar,887,2,2,2010,1,8017871
467,Koregaon Park,4144,5,4,2008,1,46187808
468,Koregaon Park,2351,4,4,1999,1,26689956
469,Hinjewadi,731,1,1,2015,0,3900086
470,Viman Nagar,3383,5,5,1996,1,26156657
471,Pimpri-Chinchwad,3358,5,5,1998,1,19953821
472,Koregaon Park,568,1,1,2006,0,6425338
473,Hinjewadi,1588,3,3,2003,1,9011136
474,Kalyani Nagar,2006,4,4,2016,1,21190133
475,Pimpri-Chinchwad,1076,2,2,2020,0,7543909
476,Koregaon Park,909,2,2,2023,0,12315042
477,Pimpri-Chinchwad,3706,5,5,2008,1,23235765
478,Kalyani Nagar,903,2,2,2012,0,9777822
479,Koregaon Park,1074,2,2,2003,0,12625335
480,Kalyani Nagar,618,1,1,2009,1,6087960
481,Hinjewadi,3706,5,4,2012,1,20561190
482,Viman Nagar,693,1,2,2014,1,6049510
483,Kalyani Nagar,1042,2,2,1992,1,9471651
484,Kalyani Nagar,1034,2,2,1992,1,9365126
485,Kalyani Nagar,1330,3,3,1992,1,12804589
486,Viman Nagar,2723,5,5,1994,1,21142801
487,Pimpri-Chinchwad,3567,5,5,2017,1,24035024
488,Viman Nagar,914,2,2,1999,0,7337519
489,Viman Nagar,1225,3,2,2011,1,10712782
490,Pimpri-Chinchwad,1630,3,3,1999,1,10290836
491,Pimpri-Chinchwad,2368,4,4,2007,1,14242955
492,Koregaon Park,3949,5,5,2000,1,44412588
493,Koregaon Park,680,1,2,2003,0,7815061
494,Pimpri-Chinchwad,1476,3,2,1994,0,8235157
495,Pimpri-Chinchwad,2449,4,3,2020,0,16155971
496,Koregaon Park,1150,2,2,2015,0,14501351
497,Kalyani Nagar,934,2,2,2014,1,9603299
498,Pimpri-Chinchwad,525,1,1,1992,1,3215272
499,Kalyani Nagar,1507,3,3,1993,1,14308322
500,Viman Nagar,740,1,2,2024,0,6582005
501,Viman Nagar,3930,5,4,2000,1,30062678
502,Koregaon Park,2332,4,3,2006,1,27784091
503,Pimpri-Chinchwad,618,1,1,1994,0,3655681
504,Pimpri-Chinchwad,812,2,2,2020,0,5781229
505,Koregaon Park,2259,4,4,2013,1,26421315
506,Hinjewadi,724,1,2,2014,0,4269482
507,Hinjewadi,1466,3,2,1995,1,7714664
508,Kalyani Nagar,596,1,1,2008,0,5726227
509,Koregaon Park,2557,4,3,1990,0,27262757
510,Pimpri-Chinchwad,1146,2,2,2015,1,8061948
511,Koregaon Park,3262,5,5,1995,1,36229760
512,Pimpri-Chinchwad,3027,5,5,2025,1,21287743
513,Kalyani Nagar,1231,3,2,2024,0,13040260
